title,money,city,claim,types,education,times,description
python开发工程师,7k-14k ,成都 ,['经验1-3年'],全职, 大专及以上 ,1天前,"职位描述：
1、熟悉python web开发，了解python常见开发框架，数据常用技术栈；
2、具有服务端开发经验，熟悉数据结构、设计模式、http协议、web开发技术；
3、熟悉mysql数据库，了解elasticsearch搜索引擎；
4、理解restful风格接口规范，对前端知识有一定了解；
5、对数据爬虫，数据获取与分析有一定了解；

任职要求：
1、2年以上的相关工作经验
2、工作认真，责任心强，具有良好的沟通和团队协作能力
3、具体相应的项目经验
4、能接受长期出差"
Python,15k-30k ,武汉 ,['经验3-5年'],全职, 大专及以上 ,09:06,"职位描述：
1、Python，Shell开发经验，有运维自动化平台开发经验。
2、熟悉Linux、MySQL安装配置和运维管理。"
Python开发,13k-26k ,上海 ,['经验3-5年'],全职, 本科及以上 ,1天前,"职位描述：
职位描述：
岗位职责：
1、根据开发进度和任务分配按时按量完成相应模块软件的设计、开发；
2、能独立处理和解决工作中遇到的问题；
3、进行程序单元、功能的测试，对软件中存在的BUG能准确定位并解决；
4、进行编制项目文档，记录工作质量；
5、参与运维自动化产品功能开发可行性需求的分析和相关评估。
岗位要求：
1、本科及以上学历，计算机、自动化相关专业毕业；
2、熟练使用Python，熟练django框架，语言经验在两年或以上，基本功扎实，标准库熟练；
3、会写，会调，熟悉热门的Python库，如requests，Jinja2，pandas，Numpy等；
4、熟悉Linux的命令行操作；
5、不错的英文读写功力，阅读python相关技术文档，热爱Python，对自己的代码风格要求严格，有技术热情，执行力强。
加分项：
1、有python开源项目；
2、对devops有深入理解和独特看法。
 "
python工程师,15k-30k ,北京 ,['经验3-5年'],全职, 本科及以上 ,2天前,"职位描述：
岗位职责
1.内容生成，内容优化，内容检测策略设计及实现
2.编写爬虫实现对互联网数据的采集和数据抽取等工作。
3.内容提取、处理、结构化、过滤等数据处理，并设计存储结构。
4.超大规模数据的自动化批处理服务实现。
任职要求
1.拥有良好的算法和数据结构功底
2.熟练掌握python脚本语言的使用
3.熟练掌握mysql等数据库，拥有良好的数据设计能力
4.有后端项目开发经验优先
5.熟悉前端技术(html/css/js)优先"
Python开发工程师,20k-35k ,上海 ,['经验3-5年'],全职, 大专及以上 ,2天前,"职位描述：
工作职责：
1. 负责设计和开发分布式的网络爬虫应用，进行互联网相关信息的抓取和分析；
2. 设计策略和算法，提升网页抓取的效率和质量，进一步解决系统的网页排重、垃圾控制、资源划分等问题；
3. 负责其他运营类后台需求。
岗位职责：
1. 计算机、信息技术或相关专业本科或以上学历；
2. 精通python开发，精通Linux、网络编程、shell等脚本语言
3. 精通网页抓取原理及技术，精通从结构化的和非结构化的数据中获取信息者优先；
4. 具备良好的学习能力，对互联网有很强的求知欲
5. 有良好的合作意识和自我驱动力，能主动承担模糊任务,抗压能力"
Python开发工程师,18k-36k ,北京 ,['经验3-5年'],全职, 本科及以上 ,09:44,"职位描述：
工作职责
后端基础架构和开发；
提供高并发语音、图像、视频、自然语言处理和大数据分析请求的处理能力；
海量数据存储平台搭建；

任职要求
具备python语言的项目开发经验；
熟悉MySQL、Redis、Nginx、Flask框架；
熟练使用Docker进行开发；
了解elasticsearch、Prometheus；
有一定的数据结构和算法基础。"
python开发,10k-19k ,上海 ,['经验不限'],全职, 学历不限 ,1天前,"职位描述：
本科以上学历
1. 计算机等相关专业本科及以上学历，若能力较强可放宽标准；
2. 扎实的计算机基础理论基础，对常见数据结构和面向对象设计有深入理解；
3. 熟悉Python以及Python Web开发框架如Django，flask等，具有一年及以上项目实战经验；
4. 熟悉MySQL/Oracle/Redis 等其他一些结构化/非结构化数据库的应用；"
Python 研发工程师,25k-45k ,北京 ,['经验3-5年'],全职, 本科及以上 ,2天前,"职位描述：
职位职责：
1、参与系统架构设计、优化，提升系统性能和开发效率，保证高并发高可靠；
2、通过不断的技术研究和创新，推动业务的快速发展和高效迭代。

职位要求：
1、有扎实的编程能力，有优秀的设计能力和代码品位，热爱编程；
2、深刻理解计算机原理，有良好的数据结构和算法基础；
3、有高并发服务设计和实现经验，对分布式系统有自己的理解；
4、对软件产品有强烈的责任心，具备良好的沟通能力和优秀的团队协作能力。"
Python研发工程师,15k-30k ,北京 ,['经验3-5年'],全职, 大专及以上 ,1天前,"职位描述：
工作内容：
1、负责产品的系统设计和架构分析，参与核心模块的代码编写；
2、负责效率工具的后台开发工作，具体包括各种需求分析、文档撰写、设计编码、测试运维、效果追踪等工作；
3、负责高质量的设计和编码，承担重点、难点的技术攻坚；
4、参与讨论公司产品发展方向，把握产品开发和升级进度；
专业知识：
1、3年以上Python开发经验；
2、熟悉大型网站的网络架构；
3､熟练使用flask, Django,Rabittmq,namekro等框架；
4、精通Nginx/MongoDB等的性能调优；
5、精通常见的缓存产品如Redis／Memcached等；
6、有良好的学习能力，擅于钻研某方面技术；
7、细致认真，善于沟通，能和团队融洽相处。
8.有良好的算法和数据结构基础，及很强的自学能力；"
Python开发工程师,13k-25k ,珠海 ,['经验不限'],全职, 学历不限 ,1天前,"职位描述：
工作职责：
1、负责wps运维平台的开发；
2、运维自动化的研究、开发、部署；
任职要求：
1.1年以上python开发经验
2.熟悉linux操作系统的使用与配置；
3.熟悉mysql数据库。"
